ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well,Parent_Bac
6,12,nan,003,5,nan,0,001,001,0,001,A003,12
6,13,nan,003,5,nan,0,001,001,0,001,A003,13
6,14,nan,003,5,nan,0,001,001,0,001,A003,14
6,15,nan,003,5,nan,0,001,001,0,001,A003,15
6,16,nan,003,5,nan,0,001,001,0,001,A003,16
6,17,nan,003,5,nan,0,001,001,0,001,A003,17
6,18,nan,003,5,nan,0,001,001,0,001,A003,18
6,19,nan,003,5,nan,0,001,001,0,001,A003,19
6,20,nan,003,5,nan,0,001,001,0,001,A003,20
6,21,nan,003,5,nan,0,001,001,0,001,A003,21
6,22,nan,003,5,nan,0,001,001,0,001,A003,22
6,23,nan,003,5,nan,0,001,001,0,001,A003,23
6,24,nan,003,5,nan,0,001,001,0,001,A003,24
6,25,nan,003,5,nan,0,001,001,0,001,A003,25
6,26,nan,003,5,nan,0,001,001,0,001,A003,26
6,27,nan,003,5,nan,0,001,001,0,001,A003,27
6,28,nan,003,5,nan,0,001,001,0,001,A003,28
6,29,nan,003,5,nan,0,001,001,0,001,A003,29
6,30,nan,003,5,nan,0,001,001,0,001,A003,30
6,31,nan,003,5,nan,0,001,001,0,001,A003,31
6,32,nan,003,5,nan,0,001,001,0,001,A003,32
6,33,nan,003,5,nan,0,001,001,0,001,A003,33
6,34,nan,003,5,nan,0,001,001,0,001,A003,34
6,35,nan,003,5,nan,0,001,001,0,001,A003,35
6,36,nan,003,5,nan,0,001,001,0,001,A003,36
6,37,nan,003,5,nan,0,001,001,0,001,A003,37
6,38,nan,003,5,nan,0,001,001,0,001,A003,38
6,39,nan,003,5,nan,0,001,001,0,001,A003,39
6,40,nan,003,5,nan,0,001,001,0,001,A003,40
6,41,nan,003,5,nan,0,001,001,0,001,A003,41
6,42,nan,003,5,nan,0,001,001,0,001,A003,42
6,43,nan,003,5,nan,0,001,001,0,001,A003,43
6,44,nan,003,5,nan,0,001,001,0,001,A003,44
6,45,nan,003,5,nan,0,001,001,0,001,A003,45
6,46,nan,003,5,nan,0,001,001,0,001,A003,46
6,47,nan,003,5,nan,0,001,001,0,001,A003,47
6,48,nan,003,5,nan,0,001,001,0,001,A003,48
6,49,nan,003,5,nan,0,001,001,0,001,A003,49
6,50,nan,003,5,nan,0,001,001,0,001,A003,50
6,51,nan,003,5,nan,0,001,001,0,001,A003,51
6,52,nan,003,5,nan,0,001,001,0,001,A003,52
6,53,nan,003,5,nan,0,001,001,0,001,A003,53
6,54,nan,003,5,nan,0,001,001,0,001,A003,54
6,55,nan,003,5,nan,0,001,001,0,001,A003,55
6,56,nan,003,5,nan,0,001,001,0,001,A003,56
6,57,nan,003,5,nan,0,001,001,0,001,A003,57
6,58,nan,003,5,nan,0,001,001,0,001,A003,58
6,59,nan,003,5,nan,0,001,001,0,001,A003,59
6,60,nan,003,5,nan,0,001,001,0,001,A003,60
6,61,nan,003,5,nan,0,001,001,0,001,A003,61
6,62,nan,003,5,nan,0,001,001,0,001,A003,62
6,63,nan,003,5,nan,0,001,001,0,001,A003,63
6,64,nan,003,5,nan,0,001,001,0,001,A003,64
6,65,nan,003,5,nan,0,001,001,0,001,A003,65
7,1,nan,003,6,nan,0,001,001,0,001,A003,1
7,2,nan,003,6,nan,0,001,001,0,001,A003,2
7,3,nan,003,6,nan,0,001,001,0,001,A003,3
7,4,nan,003,6,nan,0,001,001,0,001,A003,4
7,5,nan,003,6,nan,0,001,001,0,001,A003,5
7,6,nan,003,6,nan,0,001,001,0,001,A003,6
7,7,nan,003,6,nan,0,001,001,0,001,A003,7
7,8,nan,003,6,nan,0,001,001,0,001,A003,8
7,9,nan,003,6,nan,0,001,001,0,001,A003,9
7,10,nan,003,6,nan,0,001,001,0,001,A003,10
7,11,nan,003,6,nan,0,001,001,0,001,A003,11
7,12,nan,003,6,nan,0,001,001,0,001,A003,12
7,13,nan,003,6,nan,0,001,001,0,001,A003,13
7,14,nan,003,6,nan,0,001,001,0,001,A003,14
7,15,nan,003,6,nan,0,001,001,0,001,A003,15
7,16,nan,003,6,nan,0,001,001,0,001,A003,16
7,17,nan,003,6,nan,0,001,001,0,001,A003,17
7,18,nan,003,6,nan,0,001,001,0,001,A003,18
7,19,nan,003,6,nan,0,001,001,0,001,A003,19
7,20,nan,003,6,nan,0,001,001,0,001,A003,20
7,21,nan,003,6,nan,0,001,001,0,001,A003,21
7,22,nan,003,6,nan,0,001,001,0,001,A003,22
7,23,nan,003,6,nan,0,001,001,0,001,A003,23
7,24,nan,003,6,nan,0,001,001,0,001,A003,24
7,25,nan,003,6,nan,0,001,001,0,001,A003,25
7,26,nan,003,6,nan,0,001,001,0,001,A003,26
7,27,nan,003,6,nan,0,001,001,0,001,A003,27
7,28,nan,003,6,nan,0,001,001,0,001,A003,28
7,29,nan,003,6,nan,0,001,001,0,001,A003,29
7,30,nan,003,6,nan,0,001,001,0,001,A003,30
7,31,nan,003,6,nan,0,001,001,0,001,A003,31
7,32,nan,003,6,nan,0,001,001,0,001,A003,32
7,33,nan,003,6,nan,0,001,001,0,001,A003,33
7,34,nan,003,6,nan,0,001,001,0,001,A003,34
7,35,nan,003,6,nan,0,001,001,0,001,A003,35
7,36,nan,003,6,nan,0,001,001,0,001,A003,36
7,37,nan,003,6,nan,0,001,001,0,001,A003,37
7,38,nan,003,6,nan,0,001,001,0,001,A003,38
7,39,nan,003,6,nan,0,001,001,0,001,A003,39
7,40,nan,003,6,nan,0,001,001,0,001,A003,40
7,41,nan,003,6,nan,0,001,001,0,001,A003,41
7,42,nan,003,6,nan,0,001,001,0,001,A003,42
7,43,nan,003,6,nan,0,001,001,0,001,A003,43
7,44,nan,003,6,nan,0,001,001,0,001,A003,44
7,45,nan,003,6,nan,0,001,001,0,001,A003,45
7,46,nan,003,6,nan,0,001,001,0,001,A003,46
7,47,nan,003,6,nan,0,001,001,0,001,A003,47
7,48,nan,003,6,nan,0,001,001,0,001,A003,48
7,49,nan,003,6,nan,0,001,001,0,001,A003,49
7,50,nan,003,6,nan,0,001,001,0,001,A003,50
7,51,nan,003,6,nan,0,001,001,0,001,A003,51
7,52,nan,003,6,nan,0,001,001,0,001,A003,52
7,53,nan,003,6,nan,0,001,001,0,001,A003,53
7,54,nan,003,6,nan,0,001,001,0,001,A003,54
7,55,nan,003,6,nan,0,001,001,0,001,A003,55
7,56,nan,003,6,nan,0,001,001,0,001,A003,56
7,57,nan,003,6,nan,0,001,001,0,001,A003,57
8,1,nan,003,7,nan,0,001,001,0,001,A003,1
8,2,nan,003,7,nan,0,001,001,0,001,A003,2
8,3,nan,003,7,nan,0,001,001,0,001,A003,3
8,4,nan,003,7,nan,0,001,001,0,001,A003,4
